,zipcode,Avg Adj Gross Income,%Elderly,%Single,%Joint,%HeadofH,avgDep
16551,56630,42.746788990825685,0.28440366972477066,0.44036697247706424,0.42201834862385323,0.11926605504587157,0.6330275229357798
16552,56633,43.65157894736842,0.25263157894736843,0.43157894736842106,0.23684210526315788,0.3,0.9421052631578948
16553,56634,52.05652173913043,0.2898550724637681,0.43478260869565216,0.4927536231884058,0.057971014492753624,0.6376811594202898
16554,56636,48.25045045045045,0.31981981981981983,0.45045045045045046,0.4144144144144144,0.12162162162162163,0.5945945945945946
16555,56639,47.27058823529412,0.4117647058823529,0.47058823529411764,0.5294117647058824,0.0,0.5882352941176471
16556,56641,40.27272727272727,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.8181818181818182
16557,56644,60.54210526315789,0.2894736842105263,0.4473684210526316,0.47368421052631576,0.10526315789473684,0.7105263157894737
16558,56646,46.85294117647059,0.35294117647058826,0.47058823529411764,0.4117647058823529,0.0,0.4117647058823529
16559,56647,49.26969696969697,0.30303030303030304,0.3333333333333333,0.5454545454545454,0.06060606060606061,0.5454545454545454
16560,56649,49.40022271714922,0.33407572383073497,0.5077951002227171,0.37193763919821826,0.10690423162583519,0.44988864142538976
16561,56650,40.224242424242426,0.2727272727272727,0.45454545454545453,0.42424242424242425,0.09090909090909091,0.6363636363636364
16562,56651,43.095652173913045,0.34782608695652173,0.43478260869565216,0.4782608695652174,0.13043478260869565,0.8260869565217391
16563,56652,58.525,0.2916666666666667,0.4583333333333333,0.5416666666666666,0.0,0.5833333333333334
16564,56653,48.60508474576271,0.3389830508474576,0.4576271186440678,0.4576271186440678,0.06779661016949153,0.5084745762711864
16565,56655,54.08552631578947,0.5789473684210527,0.40789473684210525,0.5131578947368421,0.05263157894736842,0.3026315789473684
16566,56657,71.18888888888888,0.6111111111111112,0.4444444444444444,0.5555555555555556,0.0,0.2222222222222222
16567,56660,40.57,0.4,0.4,0.5,0.0,0.6
16568,56661,50.046341463414635,0.3902439024390244,0.4146341463414634,0.4878048780487805,0.07317073170731707,0.4634146341463415
16569,56662,62.12307692307692,0.6923076923076923,0.46153846153846156,0.5384615384615384,0.0,0.15384615384615385
16570,56667,52.51379310344828,0.3448275862068966,0.41379310344827586,0.5172413793103449,0.0,0.5517241379310345
16571,56669,52.35625,0.4375,0.3125,0.625,0.0,0.25
16572,56672,49.59885057471264,0.47126436781609193,0.47126436781609193,0.4482758620689655,0.08045977011494253,0.39080459770114945
16573,56673,47.89354838709677,0.2903225806451613,0.41935483870967744,0.5161290322580645,0.06451612903225806,0.5806451612903226
16574,56676,52.555844155844156,0.2987012987012987,0.42857142857142855,0.4805194805194805,0.07792207792207792,0.5584415584415584
16575,56678,51.78771929824561,0.2807017543859649,0.47368421052631576,0.43859649122807015,0.08771929824561403,0.5789473684210527
